time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area,simulation_time,lateral_inflow
178.0,2.9999999999999996,0.15603739268294936,0.20933309206627806,0.2546827711072477,0.25476832602356025,0.1786178330022878,0.18666426849636325,0.0653768710805202,0.2,200.0,10741.0,0.06666666666666667
179.0,2.9999999999999996,0.15325045031099074,0.2022059253084301,0.2502096629060118,0.2556174655820964,0.17985553612999786,0.18046105267771553,0.0653768710805202,0.2,200.0,10801.0,0.06666666666666667
180.0,2.9999999999999996,0.15134387715491002,0.19654619226266237,0.24537548015984378,0.25437442970209023,0.17862927578946078,0.17432604836978657,0.0653768710805202,0.2,200.0,10861.0,0.06666666666666667
181.0,2.9999999999999996,0.15002771169506926,0.19223980192350518,0.24063041760558196,0.2515173384878388,0.17548487335634969,0.16757816226507227,0.0653768710805202,0.2,200.0,10921.0,0.06666666666666667
182.0,2.9999999999999996,0.1396917311631259,0.18902826755808835,0.2362355786055875,0.24768374019648395,0.17108993434358358,0.1597221222296997,0.007967530727722274,0.2,200.0,10981.0,0.06666666666666667
183.0,2.9999999999999996,0.12191110694720625,0.1844670564549969,0.2322837666537559,0.2433936653736221,0.1661497188545779,0.15046471996893693,0.007967530727722274,0.2,200.0,11041.0,0.06666666666666667
184.0,2.9999999999999996,0.10722191456945086,0.17730640270526557,0.22835520443054788,0.23911613663796932,0.1611796396158576,0.13971253579196455,0.007967530727722274,0.2,200.0,11101.0,0.06666666666666667
185.0,2.9999999999999996,0.09595954930675098,0.1687624496247922,0.22388804154178096,0.23496197118311754,0.15636207554488799,0.12748528857979263,0.007967530727722274,0.2,200.0,11161.0,0.06666666666666667
186.0,2.9999999999999996,0.08733419113765158,0.16004191101645782,0.2187443479427092,0.23082352796470249,0.15157735389782548,0.11382150598650581,0.007967530727722274,0.2,200.0,11221.0,0.06666666666666667
187.0,2.9999999999999996,0.08064528005562258,0.15185371625429137,0.21314560971465943,0.22645988908206377,0.14656696653287937,0.0987021125015462,0.007967530727722274,0.2,200.0,11281.0,0.06666666666666667
188.0,2.9999999999999996,0.07540577864926966,0.14453411043399977,0.20740731065981577,0.22171540726063652,0.14119920264771454,0.11203610518677147,0.007967530727722274,0.0,200.0,11341.0,0.06666666666666667
189.0,2.9999999999999996,0.07124980253950279,0.13818286060221954,0.20179209639193832,0.21663320811164924,0.1355320070352523,0.153719060465411,0.007967530727722274,0.0,200.0,11401.0,0.06666666666666667
190.0,2.9999999999999996,0.0679254845057407,0.13276946373752582,0.19647355398236047,0.21134958714588023,0.12971029284562663,0.19368195450932765,0.007967530727722274,0.0,200.0,11461.0,0.06666666666666667
191.0,2.9999999999999996,0.06524330049248003,0.12819891296320104,0.19155708472807495,0.20603529774093335,0.12386537065991593,0.2318944729024235,0.007967530727722274,0.0,200.0,11521.0,0.06666666666666667
192.0,2.9999999999999996,0.06306297703184052,0.1243646860226621,0.18710321274561464,0.20081219307550408,0.11819925350709602,0.2683692275709441,0.007967530727722274,0.0,200.0,11581.0,0.06666666666666667
193.0,2.9999999999999996,0.06128209553457492,0.12116387818972442,0.18312240449846554,0.19584432782075994,0.11288917705756867,0.30318446479045413,0.007967530727722274,0.0,200.0,11641.0,0.06666666666666667
194.0,2.9999999999999996,0.059822021404046494,0.11849994620165596,0.17959966956366433,0.1912439149453155,0.10802693148720652,0.33645964429846664,0.007967530727722274,0.0,200.0,11701.0,0.06666666666666667
195.0,2.9999999999999996,0.05861199801544264,0.11628229871908664,0.1765122015228175,0.18702663139550746,0.1036441801066233,0.36833309051878826,0.007967530727722274,0.0,200.0,11761.0,0.06666666666666667
196.0,2.9999999999999996,0.05760568512774862,0.11443493052925985,0.1738185343565881,0.18323309875374105,0.09974790188997441,0.3989509193520098,0.007967530727722274,0.0,200.0,11821.0,0.06666666666666667
197.0,2.9999999999999996,0.056767381357271995,0.1128955811146778,0.1714793765879174,0.17983108859533356,0.09629481994915896,0.42845382844607444,0.007967530727722274,0.0,200.0,11881.0,0.06666666666666667
198.0,2.9999999999999996,0.05606788399366105,0.11161213294247463,0.16945630420146088,0.1768261913158493,0.09326359828130872,0.45697188061431976,0.007967530727722274,0.0,200.0,11941.0,0.06666666666666667
199.0,2.9999999999999996,0.07897902250640924,0.1113589537434889,0.16771225499593642,0.1741555415018623,0.09061602228463538,0.4845602734249296,0.13102947079094104,0.0,200.0,12001.0,0.06666666666666667
200.0,2.9999999999999996,0.11577291161369699,0.11600120786941742,0.16635202712567215,0.17185401764824965,0.08834161963465358,0.5114092047031334,0.13102947079094104,0.0,200.0,12061.0,0.06666666666666667
201.0,2.9999999999999996,0.14499259270154166,0.12644251763338155,0.16600322368480383,0.1699058921086205,0.08642701234914264,0.5376353131757713,0.13102947079094104,0.0,200.0,12121.0,0.06666666666666667
202.0,2.9999999999999996,0.16791919388777965,0.14198296083289505,0.16727295360391567,0.16844054292333147,0.0850078456925359,0.5633660840935434,0.13102947079094104,0.0,200.0,12181.0,0.06666666666666667
203.0,2.9999999999999996,0.1852155291490646,0.15888454948214709,0.17100499989547832,0.16776452801193412,0.08435702889062574,0.5887741517893123,0.13102947079094104,0.0,200.0,12241.0,0.06666666666666667
204.0,2.9999999999999996,0.19660653712577789,0.1757735775606079,0.1772902337942815,0.16829238958890402,0.08486316975859289,0.6141116250493485,0.13102947079094104,0.0,200.0,12301.0,0.06666666666666667
205.0,2.9999999999999996,0.20395364628681675,0.19159342854816738,0.18598805028834453,0.17048287131503187,0.0869388947177826,0.639777774598417,0.13102947079094104,0.0,200.0,12361.0,0.06666666666666667
206.0,2.9999999999999996,0.20837388648960567,0.20543650829684773,0.19631763074536268,0.17462582264584553,0.09094126363005214,0.6662864125200445,0.13102947079094104,0.0,200.0,12421.0,0.06666666666666667
207.0,2.9999999999999996,0.21085109402835206,0.21685695992805812,0.20735276732512647,0.18080928907989374,0.09699055422477233,0.6942346427588806,0.13102947079094104,0.0,200.0,12481.0,0.06666666666666667
208.0,2.9999999999999996,0.21212564787628096,0.22577259994470003,0.21825792404019514,0.18875984242811655,0.10495628064923283,0.7242270941171698,0.13102947079094104,0.0,200.0,12541.0,0.06666666666666667
209.0,2.9999999999999996,0.212713091772048,0.2323948163455837,0.22841131272825274,0.19798884531383576,0.11447902492143475,0.7268058472304633,0.13102947079094104,0.2,200.0,12601.0,0.06666666666666667
210.0,2.9999999999999996,0.21294085068353022,0.23705542584822226,0.23741197252268265,0.2078875128470577,0.12498612632501835,0.7023780403136842,0.13102947079094104,0.2,200.0,12661.0,0.06666666666666667
211.0,2.9999999999999996,0.2130021785643134,0.2401524339737047,0.24507883812167025,0.21779165786104338,0.13575168381258773,0.6811546817685296,0.13102947079094104,0.2,200.0,12721.0,0.06666666666666667
212.0,2.9999999999999996,0.2129953328306792,0.242058059569257,0.2514063064363533,0.22715984710141968,0.14627665320243424,0.6631425097632391,0.13102947079094104,0.2,200.0,12781.0,0.06666666666666667
213.0,2.9999999999999996,0.2129673418328689,0.2431113847636765,0.2564707884047735,0.23575437679740954,0.15609663437965937,0.6482208737435294,0.13102947079094104,0.2,200.0,12841.0,0.06666666666666667
214.0,2.9999999999999996,0.20043582773105886,0.24358960235670815,0.26042411763984497,0.2432623046875766,0.16485551201030477,0.6363054361572434,0.04223254984568207,0.2,200.0,12901.0,0.06666666666666667
215.0,2.9999999999999996,0.17889835760363088,0.238784815394115,0.2631414710871256,0.2495286238576062,0.1722880669529485,0.6268534199595917,0.04223254984568207,0.2,200.0,12961.0,0.06666666666666667
216.0,2.9999999999999996,0.16169042248662524,0.22811169926088096,0.2635370102208084,0.2545543811860084,0.1782920570726628,0.6192908259667257,0.04223254984568207,0.2,200.0,13021.0,0.06666666666666667
217.0,2.9999999999999996,0.1488041932148726,0.21760371117157423,0.26132939551109857,0.25820811871233273,0.18271025135070545,0.6133499069933466,0.04223254984568207,0.2,200.0,13081.0,0.06666666666666667
218.0,2.9999999999999996,0.1398043618772515,0.2064032230039257,0.25703613803877273,0.26001862360886135,0.1850055836800819,0.6084911537341681,0.04223254984568207,0.2,200.0,13141.0,0.06666666666666667
219.0,2.9999999999999996,0.13355241157372033,0.19587582955208332,0.2512171129153598,0.25974497886164033,0.18487746886203732,0.6040349111118329,0.04223254984568207,0.2,200.0,13201.0,0.06666666666666667
220.0,2.9999999999999996,0.1291579860316687,0.18687209063545882,0.24460324574011905,0.2573393657874244,0.18224880008861702,0.5992389556921239,0.04223254984568207,0.2,200.0,13261.0,0.06666666666666667
221.0,2.9999999999999996,0.12603975961986044,0.17954241262735518,0.23780590822386272,0.25313363056617694,0.17751375822853543,0.5933899453899368,0.04223254984568207,0.2,200.0,13321.0,0.06666666666666667
222.0,2.9999999999999996,0.12380164363185386,0.1737424437130456,0.23126525902684059,0.24772075043649194,0.1712700468965199,0.5859261643397626,0.04223254984568207,0.2,200.0,13381.0,0.06666666666666667
223.0,2.9999999999999996,0.12218438858521147,0.16923132473905284,0.22525068277732596,0.2416426622153677,0.16425449804485126,0.5764781898947383,0.04223254984568207,0.2,200.0,13441.0,0.06666666666666667
224.0,2.9999999999999996,0.1210070003240884,0.16575458882344596,0.21988749882221506,0.23546547866049097,0.15711801781845933,0.5648987666614022,0.04223254984568207,0.2,200.0,13501.0,0.06666666666666667
225.0,2.9999999999999996,0.12014661635846777,0.16310102362566878,0.2152109630495885,0.22952747371866083,0.15026580411264281,0.5512058545943,0.04223254984568207,0.2,200.0,13561.0,0.06666666666666667
226.0,2.9999999999999996,0.1195164388387969,0.16109143139311868,0.21120349972102312,0.22402615415303337,0.14394765860824793,0.5355173606472364,0.04223254984568207,0.2,200.0,13621.0,0.06666666666666667
227.0,2.9999999999999996,0.13127554102052497,0.1595759977692184,0.20781386682572564,0.21906354334730246,0.13831071363333505,0.5178967831050166,0.11834802911933823,0.2,200.0,13681.0,0.06666666666666667
228.0,2.9999999999999996,0.1517094662200154,0.1626199003778463,0.2051136254513523,0.2147447564968545,0.13344695661611802,0.4986958635169002,0.11834802911933823,0.2,200.0,13741.0,0.06666666666666667
229.0,2.9999999999999996,0.16766236975052917,0.16883494833775112,0.20380393158236815,0.21106068572858475,0.12933212998700008,0.4781706876221557,0.11834802911933823,0.2,200.0,13801.0,0.06666666666666667
230.0,2.9999999999999996,0.17989955854219097,0.17782926925378173,0.20410872369070793,0.20816398131886565,0.12608527275757767,0.45656871504749313,0.11834802911933823,0.2,200.0,13861.0,0.06666666666666667
231.0,2.9999999999999996,0.1882021466305154,0.18749369085405201,0.20628575588030693,0.20623142918507126,0.12393486984101372,0.4341141819209148,0.11834802911933823,0.2,200.0,13921.0,0.06666666666666667
232.0,2.9999999999999996,0.1937119686246828,0.19692399159757665,0.21020624917344577,0.2056687640690308,0.12325549844911889,0.4111825943770078,0.11834802911933823,0.2,200.0,13981.0,0.06666666666666667
233.0,2.9999999999999996,0.19715440092081307,0.20544416669184903,0.21541554343979927,0.2066114786120203,0.12419840842804075,0.38823753093632596,0.11834802911933823,0.2,200.0,14041.0,0.06666666666666667
