time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow
33240.0,2.9999999999999996,0.23238909938802127,0.17367433085579712,0.20547127322846992,0.24051694632658796,0.16543345827785172,0.9143009626917565,0.24290069201770637,0.1851851851851852
33270.0,2.9999999999999996,0.248398019779848,0.18131059504260041,0.20152358349975683,0.23319303994336138,0.15673962251495352,0.9107675763523743,0.24290069201770637,0.1851851851851852
33300.0,2.9999999999999996,0.2617966152905954,0.19055368287006721,0.1990332681705176,0.22649138825437892,0.14878124094435416,0.905976490756216,0.24290069201770637,0.1851851851851852
33330.0,2.9999999999999996,0.2728574473471949,0.20081574336397198,0.19803314782790407,0.22054466092660285,0.14173948078146953,0.9000485276258476,0.24290069201770637,0.1851851851851852
33360.0,2.9999999999999996,0.28188642586031826,0.2115906478287285,0.1984815388467652,0.21552179213208275,0.1357869174300791,0.8931328398346396,0.24290069201770637,0.1851851851851852
33390.0,2.9999999999999996,0.2891731597475177,0.2224644512493903,0.20028121881956595,0.21151884167057336,0.1310081726677114,0.8853997742987828,0.24290069201770637,0.1851851851851852
33420.0,2.9999999999999996,0.2949891067769552,0.23310055381822403,0.20328012213105778,0.2086173199759491,0.12743389574564926,0.877027466124078,0.24290069201770637,0.1851851851851852
33450.0,2.9999999999999996,0.30407350017925106,0.2432722718881923,0.20731338856363424,0.20679695492721403,0.12507933915322397,0.8681968419749307,0.30121131758701014,0.1851851851851852
33480.0,2.9999999999999996,0.3161422714864983,0.25339007283852705,0.21221314415598047,0.20606598583066646,0.12392303568994725,0.8590902523660907,0.30121131758701014,0.1851851851851852
33510.0,2.9999999999999996,0.32637469365664923,0.2638387575314571,0.21786011747813339,0.20635942180242287,0.12390166970223991,0.8498841136084688,0.30121131758701014,0.1851851851851852
33540.0,2.9999999999999996,0.3348289029927663,0.2743979809037156,0.22417302583418636,0.20762834166281632,0.12496244902346818,0.8407451380797092,0.30121131758701014,0.1851851851851852
33570.0,2.9999999999999996,0.3416560033024979,0.2848563288212082,0.23107428134380484,0.20982926974188337,0.12705094962138397,0.8318322952378474,0.30121131758701014,0.1851851851851852
33600.0,2.9999999999999996,0.3470706507135259,0.2949763214812512,0.23847773080344056,0.21291019396699207,0.13010722779177175,0.8232960258361672,0.30121131758701014,0.1851851851851852
33630.0,2.9999999999999996,0.35129079493100285,0.30456714042676636,0.24628002677214755,0.2167858031034758,0.13409351168097713,0.8152784428235919,0.30121131758701014,0.1851851851851852
33660.0,2.9999999999999996,0.3545165674467066,0.31347184420623014,0.25435555454425324,0.22144889578876345,0.13899583968240972,0.8079183482466706,0.30121131758701014,0.1851851851851852
33690.0,2.9999999999999996,0.35693279699885905,0.32159328047871555,0.2625683306038189,0.22680702049815976,0.14478265267346377,0.8013516892061219,0.30121131758701014,0.1851851851851852
33720.0,2.9999999999999996,0.341145275093969,0.3288796880220089,0.2707779663015107,0.23280174389172242,0.15134569608631857,0.7957646308561065,0.0747338270484117,0.1851851851851852
33750.0,2.9999999999999996,0.31215936374643244,0.33163135509450065,0.27879803015519605,0.2392989417724254,0.15859586384417607,0.7912225584855372,0.0747338270484117,0.1851851851851852
33780.0,2.9999999999999996,0.28737883181566837,0.32751593068842294,0.28607694538093226,0.24618773150826168,0.166422201636831,0.787799826137955,0.0747338270484117,0.1851851851851852
33810.0,2.9999999999999996,0.2654571614640588,0.3205481990768744,0.29191333778454154,0.2532916417618922,0.17458582972418443,0.7855128615923063,0.0747338270484117,0.1851851851851852
33840.0,2.9999999999999996,0.24703165138898006,0.3121886430733965,0.29578006630164533,0.2603395491675158,0.18286419972611792,0.7844606837537206,0.0747338270484117,0.1851851851851852
33870.0,2.9999999999999996,0.2318386250860345,0.3019042939029768,0.29757883156148246,0.2671106687213689,0.19097453485961513,0.7846448701344892,0.0747338270484117,0.1851851851851852
33900.0,2.9999999999999996,0.2193450224094611,0.2905746699767583,0.2973889335035574,0.27328116880815184,0.19850739816917423,0.7860152973548228,0.0747338270484117,0.1851851851851852
